Set	Class	Sub_Class	Count	LncRNA	Simpson	P-value	FDR	Bonferroni	Jaccard	%	Input_number
HNRNPD	RNA_Protein_Interaction	RNAInter4.0	4	CASC15;CASC9;CASC19;CASC18	0.667	2.7e-06	0.000393	0.011	0.00328	4/1216	6
SRSF11	RNA_Protein_Interaction	RNAInter4.0	4	CASC16;CASC8;CASC9;CASC19	0.667	2.93e-06	0.000409	0.012	0.00322	4/1241	6
NOVA1	RNA_Protein_Interaction	RNAInter4.0	4	CASC8;CASC9;CASC19;CASC18	0.667	3.01e-06	0.000409	0.0123	0.0032	4/1249	6
SRSF5	RNA_Protein_Interaction	RNAInter4.0	4	CASC16;CASC8;CASC9;CASC19	0.667	3.91e-06	0.000515	0.016	0.00299	4/1335	6
IGF2BP1	RNA_Protein_Interaction	RNAInter4.0	4	CASC16;CASC8;CASC19;CASC18	0.667	4.41e-06	0.00054	0.018	0.0029	4/1376	6
TAF15	RNA_Protein_Interaction	RNAInter4.0	4	CASC15;CASC8;CASC9;CASC19	0.667	4.52e-06	0.00054	0.0184	0.00289	4/1384	6
A1CF	RNA_Protein_Interaction	RNAInter4.0	4	CASC8;CASC9;CASC19;CASC18	0.667	4.58e-06	0.00054	0.0187	0.00288	4/1389	6
PUF60	RNA_Protein_Interaction	RNAInter4.0	4	CASC16;CASC8;CASC19;CASC18	0.667	4.63e-06	0.00054	0.0189	0.00287	4/1393	6
HNRNPCL1	RNA_Protein_Interaction	RNAInter4.0	4	CASC16;CASC8;CASC19;CASC18	0.667	4.88e-06	0.000543	0.0199	0.00283	4/1411	6
LARP4	RNA_Protein_Interaction	RNAInter4.0	3	CASC16;CASC8;CASC19	0.5	4.92e-06	0.000543	0.0201	0.00806	3/369	6
TRNAU1AP	RNA_Protein_Interaction	RNAInter4.0	4	CASC16;CASC8;CASC9;CASC19	0.667	5.1e-06	0.000548	0.0208	0.0028	4/1427	6
KHDRBS2	RNA_Protein_Interaction	RNAInter4.0	4	CASC8;CASC9;CASC19;CASC18	0.667	5.36e-06	0.000561	0.0219	0.00276	4/1445	6
CNOT4	RNA_Protein_Interaction	RNAInter4.0	4	CASC16;CASC8;CASC19;CASC18	0.667	6e-06	0.000609	0.0245	0.00269	4/1487	6
TBRG4	RNA_Protein_Interaction	RNAInter4.0	3	CASC15;CASC9;CASC19	0.5	6.12e-06	0.000609	0.025	0.0075	3/397	6
TRA2A	RNA_Protein_Interaction	RNAInter4.0	4	CASC8;CASC9;CASC19;CASC18	0.667	7e-06	0.00068	0.0286	0.00258	4/1546	6
PPIG	RNA_Protein_Interaction	RNAInter4.0	3	CASC16;CASC8;CASC19	0.5	7.3e-06	0.000693	0.0298	0.00708	3/421	6
HNRNPK	RNA_Protein_Interaction	RNAInter4.0	4	CASC8;CASC9;CASC19;CASC18	0.667	1.07e-05	0.000992	0.0437	0.00232	4/1721	6
